reviewScore,genres,runtime,name,titleId
6.9,"Biography,Comedy",101 min,A Futile and Stupid Gesture,tt5566790
5.1,"Drama,History,Thriller",94 min,The 15:17 to Paris,tt6802308
8.4,"Biography,Comedy,Drama",140 min,Padman,tt7218518
7.7,"Comedy,Romance",138 min,Sonu Ke Titu Ki Sweety,tt7581902
6.3,"Animation,Adventure,Comedy",89 min,Early Man,tt4701724
7.4,"Action,Comedy,Crime",138 min,Thaanaa Serndha Koottam,tt6237966
6.8,"Horror,Thriller",98 min,Unsane,tt7153766
5.0,"Action,Drama",86 min,Acts of Violence,tt6684714
reviewScore,genres,runtime,name,titleId
7.8,"Action,Adventure,Sci-Fi",134 min,Black Panther,tt1825683
5.6,"Horror,Mystery,Sci-Fi",102 min,The Cloverfield Paradox,tt2548396
6.3,Comedy,110 min,Enes Batur Hayal mi Gerçek mi?,tt7668842
6.8,"Drama,Mystery,Thriller",140 min,Red Sparrow,tt2873282
7.4,"Comedy,Crime,Mystery",100 min,Game Night,tt2704998
6.0,"Action,Adventure,Sci-Fi",111 min,Pacific Rim: Uprising,tt2557478
6.4,"Comedy,Fantasy,Romance",97 min,When We First Met,tt5783956
4.4,"Drama,Romance,Thriller",105 min,Fifty Shades Freed,tt4477536
3.3,"Horror,Thriller",94 min,The Open House,tt7608028
7.2,"Drama,History,Romance",164 min,Padmaavat,tt5935704
4.2,"Adventure,Family,Fantasy",109 min,A Wrinkle in Time,tt1620680
6.9,"Action,Drama,History",130 min,12 Strong,tt1413492
8.1,"Comedy,Drama,Romance",110 min,"Love, Simon",tt5164432
6.6,"Action,Crime,Drama",107 min,Death Wish,tt1137450
8.2,"Animation,Adventure,Comedy",101 min,Isle of Dogs,tt5104604
6.5,"Animation,Adventure,Comedy",95 min,Peter Rabbit,tt5117670
5.1,"Drama,History,Thriller",94 min,The 15:17 to Paris,tt6802308
7.7,"Comedy,Romance",138 min,Sonu Ke Titu Ki Sweety,tt7581902
6.8,"Horror,Thriller",98 min,Unsane,tt7153766
6.3,"Animation,Adventure,Comedy",89 min,Early Man,tt4701724
reviewScore,genres,runtime,name,titleId
7.8,"Action,Adventure,Sci-Fi",134 min,Black Panther,tt1825683
5.6,"Horror,Mystery,Sci-Fi",102 min,The Cloverfield Paradox,tt2548396
6.3,Comedy,110 min,Enes Batur Hayal mi Gerçek mi?,tt7668842
6.8,"Drama,Mystery,Thriller",140 min,Red Sparrow,tt2873282
7.4,"Comedy,Crime,Mystery",100 min,Game Night,tt2704998
6.0,"Action,Adventure,Sci-Fi",111 min,Pacific Rim: Uprising,tt2557478
6.4,"Comedy,Fantasy,Romance",97 min,When We First Met,tt5783956
4.4,"Drama,Romance,Thriller",105 min,Fifty Shades Freed,tt4477536
3.3,"Horror,Thriller",94 min,The Open House,tt7608028
7.2,"Drama,History,Romance",164 min,Padmaavat,tt5935704
4.2,"Adventure,Family,Fantasy",109 min,A Wrinkle in Time,tt1620680
6.9,"Action,Drama,History",130 min,12 Strong,tt1413492
8.1,"Comedy,Drama,Romance",110 min,"Love, Simon",tt5164432
6.6,"Action,Crime,Drama",107 min,Death Wish,tt1137450
8.2,"Animation,Adventure,Comedy",101 min,Isle of Dogs,tt5104604
6.5,"Animation,Adventure,Comedy",95 min,Peter Rabbit,tt5117670
5.1,"Drama,History,Thriller",94 min,The 15:17 to Paris,tt6802308
7.7,"Comedy,Romance",138 min,Sonu Ke Titu Ki Sweety,tt7581902
6.8,"Horror,Thriller",98 min,Unsane,tt7153766
6.3,"Animation,Adventure,Comedy",89 min,Early Man,tt4701724
5.1,Comedy,83 min,Furlough,tt5291792
7.0,"Comedy,Drama,Thriller",73 min,Manyak,tt8053258
3.5,Horror,80 min,Bad Apples,tt7091300
7.2,"Comedy,Romance",116 min,Kalyanam,tt7594378
8.9,"Adventure,Comedy,Fantasy",107 min,Abnormal Attraction,tt4470288
2.3,Sci-Fi,94 min,Battalion,tt5207004
5.4,Thriller,112 min,Selfie,tt6260342
4.8,Drama,100 min,Con Man,tt6675400
7.7,Action,106 min,KL Special Force,tt7942708
6.7,"Mystery,Thriller",120 min,Vodka Diaries,tt6275262
8.5,"Action,Drama,Sport",96 min,Veneno,tt5467928
5.3,Comedy,100 min,Dügüm Salonu,tt8045670
2.6,"Comedy,Drama",118 min,Welcome to New York,tt7275232
